E1,E2 (A),E2 (B),E2 (C),E2 (D),E3,E4,E5 (A),E5 (B),E6 (A),E6 (B),E7,E8,E9,E10,E11
0,100,0,20,16.66666667,0,50,100,92.30769231,100,100,75,0,100,100,100
0,100,0,0,0,0,39.7260274,87.5,0,100,0,0,87.5,100,100,100
61.25,100,94.73684211,59.82905983,0,36.36363636,66.66666667,100,0,100,57.14285714,95,85.71428571,66.66666667,100,100
66.66666667,100,0,43.96551724,0,0,100,27.16049383,94.11764706,100,69.30693069,66.66666667,71.42857143,87.5,100,100
0,100,47.86324786,0,26,0,70.52631579,100,0,100,74.69879518,100,0,80,100,100
0,100,55.31914894,0,0,71.08433735,100,19.44444444,69.33333333,100,100,100,0,66.66666667,100,100
0,100,0,0,0,0,36.14457831,100,3.370786517,100,100,100,92.30769231,100,50,100
0,100,0,0,69.13580247,0,100,58.0952381,0,100,100,100,75,100,66.66666667,100
83.48623853,100,0,0,0,0,60,100,0,100,41.58415842,83.33333333,96.15384615,87.5,100,100
0,100,0,0,0,0,100,100,40.74074074,100,100,0,85.71428571,100,100,100
5.217391304,100,92.30769231,65.09433962,82.43243243,0,50,63.96396396,28.40909091,100,100,0,0,100,100,100
66.66666667,100,0,0,0,0,100,100,0,100,100,60,66.66666667,100,100,100
